SLUS_011.56;Valkyrie Profile (USA) (Disc 1);
SLUS_011.79;Valkyrie Profile (USA) (Disc 2);
SLED_009.90;radicalgames@psygnosis v.2 (Europe);
SCUS_947.02;Beyond the Beyond (USA);
"SCPS_100.45
SCPS_451.47
SCPS_451.49
SCPS_911.28
SCPS_913.01";Gran Turismo (Japan, Asia);
SLES_001.64;Rise 2 - Resurrection (Europe) (En,Fr,De,Es,It);
SLPS_000.40;Tekken (Japan);
"SLUS_012.24B
SLUS_012.24C";Arc the Lad Collection - Arc the Lad (USA);
"SLUS_012.52B
SLUS_012.52C";Arc the Lad Collection - Arc the Lad II (USA);
"SLUS_012.53A
SLUS_012.53B
SLUS_012.53C";Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);
"SLUS_012.53A
SLUS_012.54B
SLUS_012.54C";Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);
SLUS_012.55;Arc the Lad Collection - Arc Arena - Monster Tournament (USA);
SLUS_012.56;Arc the Lad Collection - The Making of Arc the Lad (USA);
SLPS_034.32;Shaman King - Spirit of Shamans (Japan);
SLES_023.24;Box Champions 2000 (Germany);
"SLES_005.56
SLES_005.56#";Motorhead (Europe);
"SCES_004.09
SCES_004.09#
SCES_004.09_T";Porsche Challenge (Europe) (En,Fr,De,Es,It);
SLED_014.00;Metal Gear Solid (Europe) (Demo 1);
"SLES_002.61
SLES_002.61#";Hardcore 4x4 (Europe) (En,Fr,De);
SLES_032.85;Chicken Run (Europe) (Fr,De,Es,It);
SLES_010.20;Mortal Kombat Mythologies - Sub-Zero (Europe);
SLES_034.05;Duke Nukem - Land of the Babes (Europe) (En,Fr,De,Es,It);
"SLES_014.80
SLES_014.80_P";Oddworld - Abe's Exoddus (Europe) (Disc 1);
"SLES_114.80
SLES_114.80_P";Oddworld - Abe's Exoddus (Europe) (Disc 2);
"SLES_006.64
SLES_006.64#";Oddworld - Abe's Oddysee (Europe);
"SLES_010.41#
SLES_010.41#2";Hogs of War (Europe);
SLES_007.68;OverBlood (Europe);
